"X1","X2","count","plot_order"
"1","4",1,11
"2","2",1,11
"3","3",1,11
"4",NA,1,11
"5","5",1,11
"6","6",1,11
"7","10",1,11
"8","11",1,11
"8","16",1,11
"9","9",1,11
"10",NA,1,11
"11","8",1,11
"11","14",1,11
"12","15",1,11
"13","14",1,11
"14","11",1,11
"14","13",1,11
"14","16",1,11
"15",NA,1,11
"16","8",1,11
"16","14",1,11
"16","15",1,11
"1","1",2,1
"2","6",2,1
"3","3",2,1
"4","5",2,1
"5","4",2,1
"6","2",2,1
"7","10",2,1
"7","15",2,1
"8","9",2,1
"8","11",2,1
"9",NA,2,1
"10",NA,2,1
"11","8",2,1
"11","14",2,1
"12","12",2,1
"13","13",2,1
"14","11",2,1
"15","7",2,1
"16","16",2,1
"1","4",3,5
"2","2",3,5
"3",NA,3,5
"4","1",3,5
"5","3",3,5
"5","4",3,5
"6","5",3,5
"6","12",3,5
"7","10",3,5
"7","11",3,5
"8",NA,3,5
"9","8",3,5
"10","11",3,5
"11","7",3,5
"11","10",3,5
"12","6",3,5
"13","13",3,5
"14","14",3,5
"15","15",3,5
"16","16",3,5
"1","1",4,8
"2","3",4,8
"3","2",4,8
"3","15",4,8
"4","5",4,8
"5","4",4,8
"5","10",4,8
"6","12",4,8
"7",NA,4,8
"8","11",4,8
"9","9",4,8
"10","5",4,8
"10","11",4,8
"10","14",4,8
"11","8",4,8
"11","10",4,8
"11","14",4,8
"12","6",4,8
"12","7",4,8
"13","13",4,8
"14","10",4,8
"15",NA,4,8
"16","16",4,8
"1","1",5,3
"2","3",5,3
"3","2",5,3
"3","16",5,3
"4","14",5,3
"5","5",5,3
"6","6",5,3
"7","13",5,3
"8","9",5,3
"8","10",5,3
"8","11",5,3
"9","8",5,3
"9","14",5,3
"10","3",5,3
"10","8",5,3
"11","8",5,3
"12","13",5,3
"13","7",5,3
"13","12",5,3
"14",NA,5,3
"15","15",5,3
"16",NA,5,3
"1",NA,6,12
"2","12",6,12
"3","5",6,12
"4","4",6,12
"5","3",6,12
"6","12",6,12
"6","13",6,12
"7","10",6,12
"8","1",6,12
"8","9",6,12
"8","11",6,12
"9","8",6,12
"10","6",6,12
"10","7",6,12
"11","8",6,12
"12",NA,6,12
"13","6",6,12
"14",NA,6,12
"15","14",6,12
"16","16",6,12
"1","3",7,10
"1","7",7,10
"2","3",7,10
"2","5",7,10
"3","2",7,10
"4","3",7,10
"5","2",7,10
"6","12",7,10
"7","1",7,10
"7","10",7,10
"8",NA,7,10
"9","8",7,10
"10","7",7,10
"11","11",7,10
"12","6",7,10
"13","13",7,10
"14","14",7,10
"15","15",7,10
"16","10",7,10
"1","15",8,9
"2","5",8,9
"2","12",8,9
"2","13",8,9
"3","7",8,9
"4","5",8,9
"5","4",8,9
"5","8",8,9
"6","13",8,9
"6","16",8,9
"7","10",8,9
"8","5",8,9
"8","15",8,9
"9","9",8,9
"10","7",8,9
"10","14",8,9
"11","14",8,9
"12","13",8,9
"13","2",8,9
"13","6",8,9
"13","12",8,9
"14","10",8,9
"14","11",8,9
"15","1",8,9
"15","8",8,9
"16","1",8,9
"16","6",8,9
"1","5",9,2
"2","2",9,2
"3","8",9,2
"3","15",9,2
"4","4",9,2
"5",NA,9,2
"6","6",9,2
"7","10",9,2
"8",NA,9,2
"9","9",9,2
"10","7",9,2
"10","11",9,2
"11","10",9,2
"12","12",9,2
"13","15",9,2
"14","1",9,2
"15","3",9,2
"16","16",9,2
"1","10",10,6
"1","16",10,6
"2","5",10,6
"2","6",10,6
"2","13",10,6
"3","2",10,6
"3","15",10,6
"4",NA,10,6
"5","2",10,6
"5","4",10,6
"6","12",10,6
"7","10",10,6
"8","10",10,6
"8","11",10,6
"9","9",10,6
"10","7",10,6
"10","8",10,6
"10","11",10,6
"11","7",10,6
"12","6",10,6
"12","13",10,6
"13","2",10,6
"13","12",10,6
"14","4",10,6
"15","7",10,6
"16","1",10,6
"1","1",11,4
"2",NA,11,4
"3","3",11,4
"4","5",11,4
"5",NA,11,4
"6","6",11,4
"7","10",11,4
"8","9",11,4
"8","16",11,4
"9","8",11,4
"10","7",11,4
"10","11",11,4
"11","10",11,4
"12","12",11,4
"13","13",11,4
"14","14",11,4
"15","2",11,4
"16",NA,11,4
"1","1",12,7
"2","16",12,7
"3","3",12,7
"4",NA,12,7
"5","2",12,7
"5","4",12,7
"5","16",12,7
"6","12",12,7
"7","7",12,7
"8","8",12,7
"9","9",12,7
"10","14",12,7
"11","14",12,7
"12","6",12,7
"12","13",12,7
"13","12",12,7
"14","10",12,7
"15","5",12,7
"16","2",12,7
"16","5",12,7
