"X1","X2","count","plot_order"
"1",NA,1,8
"2","3",1,8
"2","12",1,8
"3","2",1,8
"4","4",1,8
"5","5",1,8
"6","3",1,8
"6","12",1,8
"6","13",1,8
"7","10",1,8
"7","11",1,8
"8","8",1,8
"9","9",1,8
"10","7",1,8
"11",NA,1,8
"12","1",1,8
"12","2",1,8
"12","13",1,8
"13","12",1,8
"14","14",1,8
"15","15",1,8
"16","16",1,8
"1","10",2,9
"2","3",2,9
"2","7",2,9
"2","13",2,9
"3","2",2,9
"4","5",2,9
"5","4",2,9
"6",NA,2,9
"7","2",2,9
"7","10",2,9
"8","9",2,9
"8","11",2,9
"9","8",2,9
"10","7",2,9
"11","8",2,9
"11","14",2,9
"12","3",2,9
"12","15",2,9
"13","2",2,9
"13","6",2,9
"13","12",2,9
"14","11",2,9
"15","12",2,9
"16","16",2,9
"1","1",3,10
"2","3",3,10
"2","9",3,10
"2","13",3,10
"3","2",3,10
"3","12",3,10
"4","4",3,10
"5","16",3,10
"6","12",3,10
"7","2",3,10
"8","10",3,10
"9","2",3,10
"10","11",3,10
"10","14",3,10
"11","10",3,10
"11","14",3,10
"12","6",3,10
"12","13",3,10
"13","2",3,10
"13","3",3,10
"13","12",3,10
"14","10",3,10
"14","11",3,10
"15","15",3,10
"16",NA,3,10
"1","13",4,2
"2","3",4,2
"3","2",4,2
"3","15",4,2
"4","4",4,2
"5","5",4,2
"6","12",4,2
"6","13",4,2
"6","16",4,2
"7","7",4,2
"8","1",4,2
"9","9",4,2
"10","10",4,2
"11","14",4,2
"12","6",4,2
"13","1",4,2
"13","6",4,2
"13","12",4,2
"14","11",4,2
"15","3",4,2
"16","6",4,2
"1","1",5,13
"2","10",5,13
"3","12",5,13
"4","5",5,13
"4","9",5,13
"5","4",5,13
"5","7",5,13
"6","12",5,13
"7","10",5,13
"8","9",5,13
"8","10",5,13
"8","11",5,13
"9","4",5,13
"9","8",5,13
"9","15",5,13
"10","7",5,13
"10","8",5,13
"11","8",5,13
"12","3",5,13
"12","6",5,13
"13","7",5,13
"14","14",5,13
"15","9",5,13
"16","3",5,13
"1","1",6,16
"2","3",6,16
"2","4",6,16
"3","2",6,16
"3","15",6,16
"4","2",6,16
"4","5",6,16
"5",NA,6,16
"6","12",6,16
"6","13",6,16
"7",NA,6,16
"8","10",6,16
"9","9",6,16
"10","7",6,16
"10","8",6,16
"10","11",6,16
"11","10",6,16
"11","14",6,16
"12","6",6,16
"13","6",6,16
"14","11",6,16
"14","16",6,16
"15",NA,6,16
"16",NA,6,16
"1","1",7,4
"2","2",7,4
"3","4",7,4
"4","3",7,4
"5","5",7,4
"6","6",7,4
"7","7",7,4
"8","9",7,4
"8","16",7,4
"9",NA,7,4
"10","14",7,4
"11",NA,7,4
"12","12",7,4
"13","13",7,4
"14","10",7,4
"14","11",7,4
"15","15",7,4
"16","8",7,4
"1","1",8,5
"2","2",8,5
"3","15",8,5
"4","5",8,5
"4","8",8,5
"4","9",8,5
"5","4",8,5
"6","12",8,5
"7","10",8,5
"8",NA,8,5
"9","4",8,5
"10","7",8,5
"10","11",8,5
"10","14",8,5
"11","14",8,5
"12","6",8,5
"12","13",8,5
"13",NA,8,5
"14","10",8,5
"14","11",8,5
"15","3",8,5
"16","16",8,5
"1","1",9,1
"2","4",9,1
"2","5",9,1
"2","13",9,1
"3",NA,9,1
"4","2",9,1
"5","2",9,1
"6","6",9,1
"7","3",9,1
"7","10",9,1
"8","10",9,1
"8","11",9,1
"9","11",9,1
"10","7",9,1
"10","8",9,1
"11","8",9,1
"11","9",9,1
"11","14",9,1
"12","12",9,1
"13","2",9,1
"14",NA,9,1
"15","15",9,1
"16","16",9,1
"1","8",10,15
"2",NA,10,15
"3","2",10,15
"4","5",10,15
"5","2",10,15
"5","3",10,15
"5","4",10,15
"6","12",10,15
"6","13",10,15
"7","10",10,15
"7","11",10,15
"8","9",10,15
"9",NA,10,15
"10","11",10,15
"11","7",10,15
"11","8",10,15
"11","10",10,15
"11","14",10,15
"12","6",10,15
"12","13",10,15
"13","12",10,15
"14",NA,10,15
"15","2",10,15
"16","16",10,15
"1","15",11,7
"2","3",11,7
"2","5",11,7
"2","10",11,7
"3","2",11,7
"3","5",11,7
"4","5",11,7
"5","2",11,7
"5","3",11,7
"6",NA,11,7
"7","10",11,7
"7","11",11,7
"7","15",11,7
"8","9",11,7
"9","8",11,7
"10","7",11,7
"11","7",11,7
"12","6",11,7
"13","2",11,7
"14","14",11,7
"15","7",11,7
"16","16",11,7
"1",NA,12,3
"2","3",12,3
"2","7",12,3
"2","12",12,3
"3","2",12,3
"4","5",12,3
"4","12",12,3
"5","4",12,3
"6","12",12,3
"7","1",12,3
"7","2",12,3
"8",NA,12,3
"9","9",12,3
"10","14",12,3
"11","8",12,3
"11","14",12,3
"12","2",12,3
"12","4",12,3
"12","6",12,3
"12","13",12,3
"13",NA,12,3
"14","8",12,3
"14","11",12,3
"15","15",12,3
"16","16",12,3
"1","1",13,12
"2","3",13,12
"3","2",13,12
"3","12",13,12
"4","5",13,12
"5",NA,13,12
"6","12",13,12
"7","10",13,12
"8","9",13,12
"9","8",13,12
"10","7",13,12
"10","11",13,12
"10","14",13,12
"11",NA,13,12
"12","3",13,12
"12","6",13,12
"12","13",13,12
"13","6",13,12
"14","10",13,12
"15","15",13,12
"16","16",13,12
"1","11",14,14
"2","13",14,14
"3","12",14,14
"4","4",14,14
"5","5",14,14
"6",NA,14,14
"7","10",14,14
"8","9",14,14
"9","8",14,14
"10","7",14,14
"10","12",14,14
"11","1",14,14
"11","14",14,14
"11","16",14,14
"12","3",14,14
"13","2",14,14
"13","6",14,14
"14","11",14,14
"15","15",14,14
"16","11",14,14
"1","9",15,11
"1","13",15,11
"2","3",15,11
"2","13",15,11
"3","2",15,11
"3","12",15,11
"4",NA,15,11
"5","5",15,11
"6","12",15,11
"7","7",15,11
"8","4",15,11
"9","1",15,11
"10",NA,15,11
"11","10",15,11
"11","14",15,11
"12","6",15,11
"13","1",15,11
"13","2",15,11
"14",NA,15,11
"15","15",15,11
"16","1",15,11
"1","8",16,6
"2","13",16,6
"3","2",16,6
"3","5",16,6
"4","4",16,6
"5","3",16,6
"6","14",16,6
"7","10",16,6
"8","9",16,6
"8","10",16,6
"9","8",16,6
"9","10",16,6
"10","7",16,6
"10","8",16,6
"10","9",16,6
"10","11",16,6
"10","14",16,6
"11","10",16,6
"12","13",16,6
"13",NA,16,6
"14","9",16,6
"14","10",16,6
"15","15",16,6
"16","16",16,6
