"X1","X2","count","plot_order"
"1","11",1,2
"2","3",1,2
"2","5",1,2
"3","2",1,2
"4",NA,1,2
"5","2",1,2
"5","4",1,2
"6","12",1,2
"7","7",1,2
"8","10",1,2
"9","9",1,2
"10","8",1,2
"10","11",1,2
"11","10",1,2
"11","14",1,2
"12","6",1,2
"12","8",1,2
"12","13",1,2
"13","12",1,2
"14","11",1,2
"15","15",1,2
"16","16",1,2
"1",NA,2,4
"2","5",2,4
"3","5",2,4
"3","6",2,4
"3","8",2,4
"4","5",2,4
"5","2",2,4
"5","3",2,4
"5","4",2,4
"5","15",2,4
"6","3",2,4
"6","16",2,4
"7","1",2,4
"8","9",2,4
"9","8",2,4
"10","11",2,4
"11","10",2,4
"12","9",2,4
"12","13",2,4
"13","12",2,4
"14","14",2,4
"15","5",2,4
"16","6",2,4
"1","13",3,3
"1","14",3,3
"2","16",3,3
"3","2",3,3
"3","15",3,3
"4","4",3,3
"5",NA,3,3
"6","12",3,3
"7","8",3,3
"7","10",3,3
"8","9",3,3
"8","10",3,3
"9",NA,3,3
"10","7",3,3
"10","8",3,3
"10","11",3,3
"11","10",3,3
"12","5",3,3
"12","6",3,3
"12","14",3,3
"13","1",3,3
"14","12",3,3
"15",NA,3,3
"16",NA,3,3
"1","16",4,10
"2","3",4,10
"2","12",4,10
"2","13",4,10
"3","2",4,10
"3","12",4,10
"3","15",4,10
"4","4",4,10
"5","5",4,10
"6","6",4,10
"7",NA,4,10
"8","8",4,10
"9","9",4,10
"10","10",4,10
"11","7",4,10
"12","2",4,10
"12","13",4,10
"13","2",4,10
"13","12",4,10
"14","14",4,10
"15",NA,4,10
"16",NA,4,10
"1","1",5,1
"2","2",5,1
"3","5",5,1
"4","7",5,1
"5",NA,5,1
"6","6",5,1
"7","4",5,1
"7","10",5,1
"8","8",5,1
"9","9",5,1
"10","7",5,1
"11","10",5,1
"12","12",5,1
"13","13",5,1
"14","14",5,1
"15","15",5,1
"16","16",5,1
"1","1",6,9
"2","3",6,9
"3","2",6,9
"3","6",6,9
"3","15",6,9
"4",NA,6,9
"5","2",6,9
"5","4",6,9
"6","3",6,9
"7",NA,6,9
"8","9",6,9
"8","11",6,9
"9","8",6,9
"10","7",6,9
"11","8",6,9
"11","10",6,9
"12",NA,6,9
"13","12",6,9
"14","14",6,9
"15","3",6,9
"16","16",6,9
"1","1",7,7
"2","5",7,7
"2","13",7,7
"3","12",7,7
"4","4",7,7
"5","2",7,7
"6","12",7,7
"7","10",7,7
"8","9",7,7
"9","8",7,7
"10","7",7,7
"10","13",7,7
"11","11",7,7
"12","3",7,7
"12","13",7,7
"13","2",7,7
"13","12",7,7
"14","15",7,7
"15","14",7,7
"16","16",7,7
"1","1",8,8
"2","3",8,8
"2","13",8,8
"3","2",8,8
"3","12",8,8
"3","15",8,8
"4","4",8,8
"5","10",8,8
"6","12",8,8
"6","13",8,8
"7","10",8,8
"7","15",8,8
"8","8",8,8
"9","14",8,8
"10","7",8,8
"11","14",8,8
"11","16",8,8
"12","6",8,8
"12","13",8,8
"13","2",8,8
"13","6",8,8
"13","12",8,8
"14","11",8,8
"15","3",8,8
"15","7",8,8
"16","11",8,8
"1","1",9,5
"2","3",9,5
"3","2",9,5
"4","5",9,5
"5","4",9,5
"6","12",9,5
"7","10",9,5
"7","14",9,5
"8","8",9,5
"9","9",9,5
"10","7",9,5
"11","4",9,5
"11","14",9,5
"12","6",9,5
"13","13",9,5
"14","7",9,5
"14","11",9,5
"15","12",9,5
"16","16",9,5
"1","1",10,12
"2","11",10,12
"2","13",10,12
"2","16",10,12
"3","5",10,12
"4","4",10,12
"5",NA,10,12
"6","13",10,12
"7","7",10,12
"8","9",10,12
"8","10",10,12
"9","8",10,12
"10","8",10,12
"11","2",10,12
"12",NA,10,12
"13","2",10,12
"13","6",10,12
"13","12",10,12
"13","15",10,12
"14","5",10,12
"15",NA,10,12
"16","2",10,12
"1","1",11,11
"2","2",11,11
"3","8",11,11
"4","4",11,11
"5",NA,11,11
"6","7",11,11
"7","5",11,11
"7","6",11,11
"7","10",11,11
"8",NA,11,11
"9","14",11,11
"10","7",11,11
"10","14",11,11
"11","14",11,11
"12","9",11,11
"13","12",11,11
"14","10",11,11
"14","11",11,11
"15","15",11,11
"16","16",11,11
"1","1",12,6
"2","5",12,6
"2","12",12,6
"3","6",12,6
"4","4",12,6
"5",NA,12,6
"6","3",12,6
"6","10",12,6
"6","13",12,6
"7","10",12,6
"7","16",12,6
"8",NA,12,6
"9","8",12,6
"10","6",12,6
"10","7",12,6
"10","11",12,6
"10","14",12,6
"11","10",12,6
"12","13",12,6
"13","6",12,6
"13","12",12,6
"14","10",12,6
"14","11",12,6
"15","15",12,6
"16","7",12,6
