"","X1","X2","count","plot_order"
"1","1",NA,1,1
"2","2","3",1,1
"3","3","2",1,1
"4","3","6",1,1
"5","3","12",1,1
"6","4","4",1,1
"7","5",NA,1,1
"8","6",NA,1,1
"9","7","3",1,1
"10","7","10",1,1
"11","8","9",1,1
"12","8","11",1,1
"13","9","8",1,1
"14","10","7",1,1
"15","11","7",1,1
"16","11","8",1,1
"17","11","14",1,1
"18","12","3",1,1
"19","12","6",1,1
"20","12","13",1,1
"21","13","1",1,1
"22","13","12",1,1
"23","14","11",1,1
"24","15","14",1,1
"25","16","5",1,1
"26","1","12",2,3
"27","2","3",2,3
"28","2","5",2,3
"29","3","2",2,3
"30","4","5",2,3
"31","5","2",2,3
"32","5","4",2,3
"33","6","13",2,3
"34","7","10",2,3
"35","8","8",2,3
"36","9","10",2,3
"37","10","7",2,3
"38","10","13",2,3
"39","10","14",2,3
"40","11","7",2,3
"41","11","14",2,3
"42","12",NA,2,3
"43","13","6",2,3
"44","13","12",2,3
"45","14","11",2,3
"46","15","15",2,3
"47","16","16",2,3
"48","1","4",3,2
"49","1","9",3,2
"50","2","4",3,2
"51","3","5",3,2
"52","3","15",3,2
"53","4","11",3,2
"54","5","3",3,2
"55","5","15",3,2
"56","6",NA,3,2
"57","7","7",3,2
"58","8","8",3,2
"59","9","1",3,2
"60","10","14",3,2
"61","11",NA,3,2
"62","12","6",3,2
"63","12","13",3,2
"64","13","6",3,2
"65","13","12",3,2
"66","14","10",3,2
"67","14","12",3,2
"68","14","16",3,2
"69","15","3",3,2
"70","16",NA,3,2
