"X1","X2","count","plot_order"
"1","4",1,3
"1","14",1,3
"2","4",1,3
"3","12",1,3
"4","1",1,3
"4","2",1,3
"5","14",1,3
"6","6",1,3
"7","10",1,3
"7","13",1,3
"8","9",1,3
"8","11",1,3
"9",NA,1,3
"10","7",1,3
"10","14",1,3
"11","8",1,3
"11","10",1,3
"11","14",1,3
"12","3",1,3
"13","7",1,3
"14","1",1,3
"14","10",1,3
"14","11",1,3
"15","8",1,3
"16","16",1,3
"1","1",2,12
"2","3",2,12
"2","4",2,12
"3","2",2,12
"4","2",2,12
"4","9",2,12
"5",NA,2,12
"6",NA,2,12
"7","7",2,12
"8",NA,2,12
"9","4",2,12
"10","8",2,12
"11","5",2,12
"12","6",2,12
"12","13",2,12
"13","5",2,12
"13","12",2,12
"14","14",2,12
"15","15",2,12
"16","16",2,12
"1","1",3,9
"2","3",3,9
"3","2",3,9
"3","11",3,9
"4","4",3,9
"5","9",3,9
"6","6",3,9
"7","7",3,9
"8","9",3,9
"8","10",3,9
"9","5",3,9
"9","8",3,9
"10","8",3,9
"10","11",3,9
"11","10",3,9
"11","14",3,9
"12","13",3,9
"12","15",3,9
"13","12",3,9
"14",NA,3,9
"15","12",3,9
"16","16",3,9
"1","1",4,4
"2","3",4,4
"3","2",4,4
"3","5",4,4
"4","5",4,4
"5","3",4,4
"5","4",4,4
"6","12",4,4
"6","13",4,4
"7","10",4,4
"8",NA,4,4
"9","9",4,4
"10","7",4,4
"10","8",4,4
"10","11",4,4
"11","10",4,4
"11","14",4,4
"12","6",4,4
"12","14",4,4
"13",NA,4,4
"14","11",4,4
"14","12",4,4
"15","15",4,4
"16","16",4,4
"1","1",5,8
"2","5",5,8
"3","3",5,8
"4",NA,5,8
"5","2",5,8
"6","7",5,8
"7","4",5,8
"7","6",5,8
"7","10",5,8
"8",NA,5,8
"9","8",5,8
"10","7",5,8
"11","11",5,8
"12","13",5,8
"13","12",5,8
"14","14",5,8
"15","15",5,8
"16","2",5,8
"1","8",6,2
"2","3",6,2
"2","5",6,2
"2","12",6,2
"3","2",6,2
"3","5",6,2
"4","5",6,2
"4","13",6,2
"5","2",6,2
"5","3",6,2
"5","4",6,2
"6","12",6,2
"7","7",6,2
"8","1",6,2
"9","10",6,2
"10","9",6,2
"10","14",6,2
"11","11",6,2
"12","2",6,2
"12","6",6,2
"12","13",6,2
"12","15",6,2
"13","12",6,2
"14","10",6,2
"15","12",6,2
"16","16",6,2
"1","9",7,10
"2","3",7,10
"2","7",7,10
"3","2",7,10
"4","4",7,10
"5","6",7,10
"5","14",7,10
"6","12",7,10
"7","2",7,10
"7","10",7,10
"8","8",7,10
"9",NA,7,10
"10","15",7,10
"11","11",7,10
"12","6",7,10
"12","13",7,10
"12","14",7,10
"13","12",7,10
"13","16",7,10
"14","5",7,10
"15",NA,7,10
"16","13",7,10
"1","16",8,5
"2",NA,8,5
"3","2",8,5
"3","15",8,5
"4","4",8,5
"5","5",8,5
"6",NA,8,5
"7","7",8,5
"8","9",8,5
"8","14",8,5
"9","8",8,5
"10","10",8,5
"11","11",8,5
"12","6",8,5
"12","13",8,5
"13","12",8,5
"14","8",8,5
"15",NA,8,5
"16","1",8,5
"1","14",9,14
"2","3",9,14
"3","2",9,14
"4","4",9,14
"5","5",9,14
"6","12",9,14
"7","11",9,14
"8","2",9,14
"8","10",9,14
"9","9",9,14
"10","8",9,14
"10","11",9,14
"11","7",9,14
"11","10",9,14
"11","12",9,14
"11","14",9,14
"12","6",9,14
"12","15",9,14
"13","13",9,14
"14","11",9,14
"15",NA,9,14
"16","16",9,14
"1","5",10,13
"2","4",10,13
"3","3",10,13
"4","2",10,13
"5","1",10,13
"6","12",10,13
"7","16",10,13
"8","9",10,13
"9","13",10,13
"10","10",10,13
"11","11",10,13
"12","6",10,13
"13",NA,10,13
"14","14",10,13
"15","15",10,13
"16","7",10,13
"1","4",11,7
"2",NA,11,7
"3","2",11,7
"3","6",11,7
"4","1",11,7
"5","5",11,7
"6","3",11,7
"6","12",11,7
"7","10",11,7
"8","10",11,7
"9","9",11,7
"10","7",11,7
"10","14",11,7
"11","11",11,7
"12","6",11,7
"13","13",11,7
"14","10",11,7
"15","15",11,7
"16","16",11,7
"1","8",12,1
"2","5",12,1
"2","12",12,1
"3","12",12,1
"4","4",12,1
"5","2",12,1
"6","12",12,1
"7","11",12,1
"8","1",12,1
"9","9",12,1
"10","10",12,1
"11","14",12,1
"12","2",12,1
"12","3",12,1
"12","6",12,1
"12","13",12,1
"13","12",12,1
"14","11",12,1
"14","15",12,1
"15",NA,12,1
"16","16",12,1
"1","1",13,6
"2","3",13,6
"2","16",13,6
"3","2",13,6
"3","4",13,6
"4","13",13,6
"5","5",13,6
"6",NA,13,6
"7","10",13,6
"8","9",13,6
"9","8",13,6
"10","7",13,6
"11",NA,13,6
"12","12",13,6
"13","6",13,6
"13","11",13,6
"14","14",13,6
"15","15",13,6
"16","2",13,6
"1",NA,14,11
"2","5",14,11
"3","5",14,11
"3","12",14,11
"3","15",14,11
"4","4",14,11
"5","3",14,11
"6","13",14,11
"7","13",14,11
"8","8",14,11
"9","6",14,11
"10","10",14,11
"11","14",14,11
"12","3",14,11
"13","7",14,11
"14",NA,14,11
"15",NA,14,11
"16","1",14,11
"1","12",15,15
"2","3",15,15
"2","16",15,15
"3","2",15,15
"4",NA,15,15
"5","4",15,15
"6","12",15,15
"7","10",15,15
"8","9",15,15
"8","11",15,15
"9",NA,15,15
"10","7",15,15
"11","8",15,15
"11","14",15,15
"12","1",15,15
"12","6",15,15
"12","13",15,15
"13","12",15,15
"14","11",15,15
"15","15",15,15
"16","2",15,15
"1","1",16,16
"2",NA,16,16
"3","2",16,16
"3","4",16,16
"3","5",16,16
"4",NA,16,16
"5","3",16,16
"5","4",16,16
"6","12",16,16
"6","13",16,16
"7","7",16,16
"8","5",16,16
"9","9",16,16
"10","3",16,16
"11",NA,16,16
"12","6",16,16
"12","11",16,16
"12","13",16,16
"12","16",16,16
"13","6",16,16
"13","12",16,16
"14","11",16,16
"15","15",16,16
"16",NA,16,16
