"X1","X2","count","plot_order"
"1","1",1,9
"2","3",1,9
"3","2",1,9
"4","5",1,9
"4","16",1,9
"5","4",1,9
"6","6",1,9
"7","10",1,9
"8","8",1,9
"9","9",1,9
"10","7",1,9
"10","13",1,9
"11","11",1,9
"12","13",1,9
"13","12",1,9
"14","14",1,9
"15","15",1,9
"16","4",1,9
"1","7",2,7
"2","12",2,7
"3","2",2,7
"4","9",2,7
"5","5",2,7
"6",NA,2,7
"7","1",2,7
"7","6",2,7
"7","10",2,7
"8","9",2,7
"8","10",2,7
"8","11",2,7
"9","3",2,7
"9","8",2,7
"10","7",2,7
"10","8",2,7
"10","11",2,7
"11","8",2,7
"12","2",2,7
"12","13",2,7
"13","12",2,7
"14","11",2,7
"15","15",2,7
"16","16",2,7
"1","6",3,10
"2","16",3,10
"3",NA,3,10
"4","5",3,10
"4","11",3,10
"5","4",3,10
"6","1",3,10
"6","12",3,10
"7",NA,3,10
"8","8",3,10
"9","4",3,10
"10","4",3,10
"10","7",3,10
"11","4",3,10
"11","13",3,10
"11","14",3,10
"12","5",3,10
"12","6",3,10
"13","11",3,10
"14","11",3,10
"15","15",3,10
"16","2",3,10
"16","3",3,10
"1","16",4,12
"2","12",4,12
"3","12",4,12
"4",NA,4,12
"5","4",4,12
"6","12",4,12
"7",NA,4,12
"8","10",4,12
"9","1",4,12
"10","7",4,12
"10","11",4,12
"11","10",4,12
"11","14",4,12
"11","15",4,12
"12","2",4,12
"12","3",4,12
"12","6",4,12
"12","13",4,12
"13","12",4,12
"14",NA,4,12
"15",NA,4,12
"16","1",4,12
"1","5",5,15
"1","13",5,15
"2","3",5,15
"2","5",5,15
"3","2",5,15
"4","5",5,15
"5","2",5,15
"5","4",5,15
"6","6",5,15
"7","7",5,15
"8","10",5,15
"9","9",5,15
"10","8",5,15
"11","15",5,15
"12","8",5,15
"12","13",5,15
"13","1",5,15
"13","12",5,15
"14","11",5,15
"15","11",5,15
"16","16",5,15
"1","1",6,11
"2","4",6,11
"2","12",6,11
"2","13",6,11
"3","2",6,11
"3","12",6,11
"4","2",6,11
"4","5",6,11
