"","X1","X2","count","plot_order"
"1","1","10",1,1
"2","2","12",1,1
"3","2","13",1,1
"4","3","6",1,1
"5","4","5",1,1
"6","5","4",1,1
"7","5","6",1,1
"8","5","8",1,1
"9","6",NA,1,1
"10","7","7",1,1
"11","8","5",1,1
"12","9","9",1,1
"13","10",NA,1,1
"14","11","11",1,1
"15","12","2",1,1
"16","13","14",1,1
"17","14","13",1,1
"18","15","15",1,1
"19","16","16",1,1
"20","1","1",2,4
"21","2","3",2,4
"22","2","6",2,4
"23","3","2",2,4
"24","4",NA,2,4
"25","5","5",2,4
"26","6","7",2,4
"27","6","9",2,4
"28","6","13",2,4
"29","7","4",2,4
"30","7","6",2,4
"31","7","10",2,4
"32","8","8",2,4
"33","9","6",2,4
"34","10","11",2,4
"35","11","10",2,4
"36","11","14",2,4
"37","12","13",2,4
"38","12","15",2,4
"39","13","6",2,4
"40","13","12",2,4
"41","14","11",2,4
"42","15","12",2,4
"43","16","16",2,4
"44","1","1",3,3
"45","2","5",3,3
"46","3","6",3,3
"47","3","16",3,3
"48","4","4",3,3
"49","5","2",3,3
"50","5","9",3,3
"51","6","3",3,3
"52","6","12",3,3
"53","7","7",3,3
"54","8","8",3,3
"55","9","5",3,3
"56","9","14",3,3
"57","10","10",3,3
"58","11","11",3,3
"59","12","6",3,3
"60","13","13",3,3
"61","14","9",3,3
"62","15","15",3,3
"63","16","3",3,3
"64","1",NA,4,6
"65","2","3",4,6
"66","3","2",4,6
"67","4","14",4,6
"68","5","5",4,6
"69","6","8",4,6
"70","6","12",4,6
"71","7","7",4,6
"72","8","6",4,6
"73","8","10",4,6
"74","8","11",4,6
"75","9","9",4,6
"76","10","1",4,6
"77","11","8",4,6
"78","11","14",4,6
"79","12","6",4,6
"80","13","13",4,6
"81","14","4",4,6
"82","14","11",4,6
"83","15","15",4,6
"84","16","16",4,6
"85","1","1",5,2
"86","2","6",5,2
"87","3","12",5,2
"88","4","7",5,2
"89","5","5",5,2
"90","6",NA,5,2
"91","7","6",5,2
"92","8","8",5,2
"93","9","9",5,2
"94","10","11",5,2
"95","11","10",5,2
"96","11","14",5,2
"97","12","13",5,2
"98","13","12",5,2
"99","14","3",5,2
"100","14","11",5,2
"101","15","15",5,2
"102","16","16",5,2
"103","1","1",6,9
"104","2","3",6,9
"105","2","5",6,9
"106","3","2",6,9
"107","3","5",6,9
"108","3","12",6,9
"109","3","15",6,9
"110","4","4",6,9
"111","5","2",6,9
"112","5","3",6,9
"113","6","7",6,9
"114","6","13",6,9
"115","7","6",6,9
"116","7","10",6,9
"117","8","11",6,9
"118","9","9",6,9
"119","10","7",6,9
"120","10","11",6,9
"121","11","8",6,9
"122","12","3",6,9
"123","13",NA,6,9
"124","14","11",6,9
"125","15","3",6,9
"126","15","14",6,9
"127","16","16",6,9
"128","1","15",7,5
"129","2","3",7,5
"130","2","5",7,5
"131","3","2",7,5
"132","3","8",7,5
"133","4","8",7,5
"134","5","2",7,5
"135","5","15",7,5
"136","6","14",7,5
"137","7","10",7,5
"138","8","4",7,5
"139","8","9",7,5
"140","9","8",7,5
"141","10","7",7,5
"142","10","11",7,5
"143","11","10",7,5
"144","12","12",7,5
"145","13","13",7,5
"146","14","6",7,5
"147","15","1",7,5
"148","15","5",7,5
"149","16","16",7,5
"150","1","12",8,7
"151","2","3",8,7
"152","2","5",8,7
"153","2","12",8,7
"154","3","2",8,7
"155","3","5",8,7
"156","4","4",8,7
"157","5","2",8,7
"158","5","3",8,7
"159","5","7",8,7
"160","6","2",8,7
"161","7",NA,8,7
"162","8","11",8,7
"163","9","9",8,7
"164","10","10",8,7
"165","11","8",8,7
"166","11","14",8,7
"167","12","1",8,7
"168","12","2",8,7
"169","13","16",8,7
"170","14","11",8,7
"171","14","16",8,7
"172","15","15",8,7
"173","16",NA,8,7
"174","1","6",9,8
"175","2","2",9,8
"176","3","15",9,8
"177","4","5",9,8
"178","4","12",9,8
"179","5","4",9,8
"180","6",NA,9,8
"181","7","7",9,8
"182","8","8",9,8
"183","9","11",9,8
"184","9","14",9,8
"185","10","10",9,8
"186","11","9",9,8
"187","12","4",9,8
"188","12","6",9,8
"189","12","13",9,8
"190","13","12",9,8
"191","14",NA,9,8
"192","15","3",9,8
"193","16","16",9,8
