"","X1","X2","count","plot_order"
"1","1",NA,1,12
"2","2","3",1,12
"3","3","2",1,12
"4","3","4",1,12
"5","3","5",1,12
"6","4",NA,1,12
"7","5","3",1,12
"8","6","6",1,12
"9","7","7",1,12
"10","8","8",1,12
"11","9","4",1,12
"12","10","4",1,12
"13","10","11",1,12
"14","10","14",1,12
"15","10","16",1,12
"16","11","14",1,12
"17","11","16",1,12
"18","12","13",1,12
"19","13","12",1,12
"20","14","10",1,12
"21","14","11",1,12
"22","15","1",1,12
"23","16","4",1,12
"24","16","10",1,12
"25","16","11",1,12
"26","1","1",2,6
"27","2","5",2,6
"28","3",NA,2,6
"29","4","5",2,6
"30","5","4",2,6
"31","5","8",2,6
"32","6","12",2,6
"33","7","7",2,6
"34","8","5",2,6
"35","8","9",2,6
"36","9","8",2,6
"37","10","11",2,6
"38","10","14",2,6
"39","11","10",2,6
"40","11","14",2,6
"41","12","3",2,6
"42","12","6",2,6
"43","12","13",2,6
"44","13","12",2,6
"45","14","10",2,6
"46","14","11",2,6
"47","15","15",2,6
"48","16","16",2,6
"49","1","1",3,14
"50","2",NA,3,14
"51","3","3",3,14
"52","4","4",3,14
"53","5","5",3,14
"54","6",NA,3,14
"55","7","7",3,14
"56","8","9",3,14
"57","8","11",3,14
"58","9","8",3,14
"59","9","11",3,14
"60","10","10",3,14
"61","11","8",3,14
"62","12","2",3,14
"63","12","6",3,14
"64","12","13",3,14
"65","13","2",3,14
"66","13","6",3,14
"67","13","12",3,14
"68","14","6",3,14
"69","15","15",3,14
"70","16","16",3,14
"71","1","1",4,5
"72","2",NA,4,5
"73","3","2",4,5
"74","3","5",4,5
"75","3","15",4,5
"76","4","4",4,5
"77","5","2",4,5
"78","5","3",4,5
"79","5","15",4,5
"80","6","12",4,5
"81","6","13",4,5
"82","6","16",4,5
"83","7","7",4,5
"84","8","8",4,5
"85","9","9",4,5
"86","10","11",4,5
"87","11",NA,4,5
"88","12","6",4,5
"89","12","13",4,5
"90","12","14",4,5
"91","13","6",4,5
"92","13","12",4,5
"93","14",NA,4,5
"94","15",NA,4,5
"95","16","13",4,5
"96","1","1",5,1
"97","2","3",5,1
"98","2","5",5,1
"99","3","2",5,1
"100","3","4",5,1
"101","3","5",5,1
"102","3","6",5,1
"103","4","6",5,1
"104","5","2",5,1
"105","5","3",5,1
"106","5","4",5,1
"107","5","6",5,1
"108","6","2",5,1
"109","6","3",5,1
"110","6","4",5,1
"111","6","5",5,1
"112","6","12",5,1
"113","7","15",5,1
"114","8","8",5,1
"115","9","9",5,1
"116","10","10",5,1
"117","11","11",5,1
"118","12","6",5,1
"119","12","13",5,1
"120","13","14",5,1
"121","14",NA,5,1
"122","15",NA,5,1
"123","16","16",5,1
"124","1",NA,6,15
"125","2","2",6,15
"126","3",NA,6,15
"127","4","4",6,15
"128","5","3",6,15
"129","6","12",6,15
"130","7","12",6,15
"131","8","1",6,15
"132","9","9",6,15
"133","10","10",6,15
"134","11","11",6,15
"135","12","6",6,15
"136","13","8",6,15
"137","14","6",6,15
"138","15","15",6,15
"139","16","16",6,15
"140","1","1",7,2
"141","2","3",7,2
"142","3","2",7,2
"143","3","15",7,2
"144","4",NA,7,2
"145","5","3",7,2
"146","5","4",7,2
"147","6","6",7,2
"148","7","10",7,2
"149","7","11",7,2
"150","8","9",7,2
"151","8","10",7,2
"152","8","16",7,2
"153","9","8",7,2
"154","9","10",7,2
"155","9","16",7,2
"156","10","7",7,2
"157","10","9",7,2
"158","10","16",7,2
"159","11",NA,7,2
"160","12","12",7,2
"161","13","13",7,2
"162","14","14",7,2
"163","15","3",7,2
"164","16","8",7,2
"165","16","9",7,2
"166","16","10",7,2
"167","1","1",8,13
"168","2","3",8,13
"169","2","13",8,13
"170","3","2",8,13
"171","3","5",8,13
"172","4","4",8,13
"173","5","2",8,13
"174","5","3",8,13
"175","6","13",8,13
"176","7","7",8,13
"177","8","8",8,13
"178","9","3",8,13
"179","10","14",8,13
"180","11","14",8,13
"181","12","12",8,13
"182","13",NA,8,13
"183","14","10",8,13
"184","14","11",8,13
"185","15","15",8,13
"186","16","16",8,13
"187","1",NA,9,4
"188","2","5",9,4
"189","3","2",9,4
"190","3","5",9,4
"191","3","6",9,4
"192","3","12",9,4
"193","4","5",9,4
"194","4","12",9,4
"195","5","2",9,4
"196","5","3",9,4
"197","5","4",9,4
"198","5","12",9,4
"199","6","3",9,4
"200","6","5",9,4
"201","6","12",9,4
"202","7","9",9,4
"203","8","9",9,4
"204","8","10",9,4
"205","9","7",9,4
"206","9","8",9,4
"207","10","1",9,4
"208","10","8",9,4
"209","10","11",9,4
"210","10","14",9,4
"211","11","10",9,4
"212","12","4",9,4
"213","12","5",9,4
"214","12","6",9,4
"215","13","13",9,4
"216","14","1",9,4
"217","14","10",9,4
"218","14","11",9,4
"219","15","15",9,4
"220","16","16",9,4
"221","1","8",10,16
"222","2",NA,10,16
"223","3",NA,10,16
"224","4","4",10,16
"225","5","2",10,16
"226","5","3",10,16
"227","6","6",10,16
"228","7","16",10,16
"229","8","9",10,16
"230","9","8",10,16
"231","9","10",10,16
"232","10","9",10,16
"233","10","14",10,16
"234","11","11",10,16
"235","12","12",10,16
"236","13","13",10,16
"237","14","10",10,16
"238","15","15",10,16
"239","16","7",10,16
"240","1","1",11,11
"241","2","3",11,11
"242","2","5",11,11
"243","2","7",11,11
"244","3","2",11,11
"245","3","5",11,11
"246","3","6",11,11
"247","3","11",11,11
"248","3","12",11,11
"249","4","4",11,11
"250","5","2",11,11
"251","5","3",11,11
"252","5","12",11,11
"253","6","3",11,11
"254","6","11",11,11
"255","6","12",11,11
"256","7","11",11,11
"257","8","8",11,11
"258","9","9",11,11
"259","10","15",11,11
"260","11","3",11,11
"261","11","7",11,11
"262","12","3",11,11
"263","12","6",11,11
"264","13","13",11,11
"265","14","14",11,11
"266","15",NA,11,11
"267","16","16",11,11
"268","1",NA,12,10
"269","2","3",12,10
"270","2","13",12,10
"271","3","2",12,10
"272","3","4",12,10
"273","3","5",12,10
"274","3","6",12,10
"275","4","3",12,10
"276","4","5",12,10
"277","5","3",12,10
"278","5","4",12,10
"279","6","12",12,10
"280","6","13",12,10
"281","7","7",12,10
"282","8","8",12,10
"283","9","9",12,10
"284","10","11",12,10
"285","10","14",12,10
"286","11","10",12,10
"287","12","2",12,10
"288","12","6",12,10
"289","12","13",12,10
"290","12","15",12,10
"291","13","1",12,10
"292","13","2",12,10
"293","13","6",12,10
"294","13","12",12,10
"295","13","15",12,10
"296","14","10",12,10
"297","14","11",12,10
"298","15","13",12,10
"299","16","16",12,10
"300","1","7",13,3
"301","2","5",13,3
"302","3","3",13,3
"303","4","4",13,3
"304","5","2",13,3
"305","6",NA,13,3
"306","7","10",13,3
"307","8","8",13,3
"308","9","9",13,3
"309","10",NA,13,3
"310","11","11",13,3
"311","12","6",13,3
"312","12","13",13,3
"313","13","12",13,3
"314","14","14",13,3
"315","15","2",13,3
"316","16","16",13,3
"317","1","1",14,7
"318","2",NA,14,7
"319","3","3",14,7
"320","4","4",14,7
"321","5","5",14,7
"322","6","12",14,7
"323","7","7",14,7
"324","8","9",14,7
"325","8","10",14,7
"326","9","8",14,7
"327","10","8",14,7
"328","10","11",14,7
"329","10","14",14,7
"330","11","10",14,7
"331","12","6",14,7
"332","12","13",14,7
"333","13","2",14,7
