"X1","X2","count","plot_order"
"1","16",1,1
"2","12",1,1
"3","1",1,1
"3","12",1,1
"4","4",1,1
"5",NA,1,1
"6","12",1,1
"6","13",1,1
"7",NA,1,1
"8","9",1,1
"9","8",1,1
"9","16",1,1
"10","7",1,1
"10","11",1,1
"11","10",1,1
"11","14",1,1
"12","2",1,1
"12","3",1,1
"12","6",1,1
"12","13",1,1
"13","6",1,1
"13","12",1,1
"14","11",1,1
"15","5",1,1
"16","1",1,1
"1",NA,2,5
"2","2",2,5
"3","15",2,5
"4","1",2,5
"4","5",2,5
"5","4",2,5
"6","12",2,5
"7","10",2,5
"8","10",2,5
"9","9",2,5
"10","7",2,5
"10","8",2,5
"11","11",2,5
"12","6",2,5
"12","16",2,5
"13","3",2,5
"14","14",2,5
"15","3",2,5
"16",NA,2,5
"1","1",3,4
"2","4",3,4
"2","5",3,4
"3","6",3,4
"4","2",3,4
"5","2",3,4
"5","7",3,4
"6","3",3,4
"6","12",3,4
"7","5",3,4
"8","9",3,4
"8","11",3,4
"9",NA,3,4
"10","14",3,4
"11",NA,3,4
"12","6",3,4
"13","13",3,4
"14",NA,3,4
"15","15",3,4
"16","14",3,4
"1","1",4,2
"2","3",4,2
"3","2",4,2
"3","11",4,2
"4",NA,4,2
"5","4",4,2
"6","12",4,2
"6","13",4,2
"7","7",4,2
"8","9",4,2
"9","8",4,2
"10","11",4,2
"10","14",4,2
"11","10",4,2
"12","6",4,2
"13","6",4,2
"14","10",4,2
"15","12",4,2
"16","16",4,2
"1","7",5,3
"2","11",5,3
"3","6",5,3
"3","12",5,3
"4",NA,5,3
"5","1",5,3
"6","3",5,3
"6","12",5,3
"7","10",5,3
"8",NA,5,3
"9","8",5,3
"10","7",5,3
"10","14",5,3
"11","2",5,3
"11","7",5,3
"11","14",5,3
"12","3",5,3
"12","6",5,3
"13","2",5,3
"14","10",5,3
"14","11",5,3
"15","1",5,3
"16","4",5,3
"1","1",6,6
"2","6",6,6
"3","2",6,6
"3","5",6,6
"3","6",6,6
"4","4",6,6
"5","2",6,6
"5","3",6,6
"6","2",6,6
"6","3",6,6
"6","5",6,6
"6","12",6,6
"7","7",6,6
"8","8",6,6
"9","12",6,6
"10","11",6,6
"10","14",6,6
"11","10",6,6
"11","14",6,6
"12","3",6,6
"12","6",6,6
"12","9",6,6
"12","13",6,6
"13","3",6,6
"13","6",6,6
"13","12",6,6
"14","10",6,6
"14","11",6,6
"15","15",6,6
"16","16",6,6
