"X1","X2","count","plot_order"
"1",NA,1,5
"2","2",1,5
"3","12",1,5
"4","5",1,5
"5","4",1,5
"6","12",1,5
"7","10",1,5
"8","9",1,5
"9","8",1,5
"10","7",1,5
"11","12",1,5
"12","6",1,5
"12","11",1,5
"12","13",1,5
"13","1",1,5
"13","12",1,5
"14","1",1,5
"15","15",1,5
"16","16",1,5
"1","11",2,2
"2","12",2,2
"3","2",2,2
"4","5",2,2
"5","4",2,2
"6","6",2,2
"7","13",2,2
"8","9",2,2
"9",NA,2,2
"10",NA,2,2
"11","10",2,2
"12","2",2,2
"12","13",2,2
"13","7",2,2
"13","12",2,2
"14","7",2,2
"14","15",2,2
"15","14",2,2
"16","8",2,2
"1",NA,3,4
"2","14",3,4
"3","12",3,4
"4","4",3,4
"5","5",3,4
"6","11",3,4
"7","10",3,4
"8","11",3,4
"9","9",3,4
"10","7",3,4
"11","6",3,4
"11","8",3,4
"12","3",3,4
"12","13",3,4
"13","1",3,4
"13","12",3,4
"14","2",3,4
"14","16",3,4
"15","15",3,4
"16","14",3,4
"1","1",4,3
"2","3",4,3
"3","2",4,3
"4","5",4,3
"5","4",4,3
"6",NA,4,3
"7","10",4,3
"7","11",4,3
"8","9",4,3
"9",NA,4,3
"10","7",4,3
"11","7",4,3
"11","14",4,3
"12","2",4,3
"12","6",4,3
"12","13",4,3
"12","15",4,3
"13","12",4,3
"14","11",4,3
"15","12",4,3
"16","16",4,3
"1","1",5,1
"2","3",5,1
"2","5",5,1
"3","2",5,1
"4","11",5,1
"4","14",5,1
"5","2",5,1
"6","12",5,1
"7","10",5,1
"8","8",5,1
"9","9",5,1
"10","11",5,1
"11","4",5,1
"11","10",5,1
"12","6",5,1
"12","13",5,1
"12","16",5,1
"13","12",5,1
"14","4",5,1
"15","15",5,1
"16",NA,5,1
"1","1",6,6
"2","3",6,6
"3","5",6,6
"4","4",6,6
"5","3",6,6
"6","10",6,6
"6","12",6,6
"7",NA,6,6
"8","8",6,6
"9",NA,6,6
"10","7",6,6
"11","11",6,6
"12","6",6,6
"13","13",6,6
"14","9",6,6
"15","12",6,6
"16","12",6,6
