"X1","X2","count","plot_order"
"1","1",1,5
"2","8",1,5
"2","12",1,5
"3","3",1,5
"4","5",1,5
"4","13",1,5
"5","4",1,5
"6","6",1,5
"7","10",1,5
"7","11",1,5
"8","2",1,5
"8","9",1,5
"9","5",1,5
"9","8",1,5
"10","9",1,5
"11",NA,1,5
"12","2",1,5
"13","4",1,5
"14",NA,1,5
"15","15",1,5
"16","14",1,5
"1","1",2,3
"2","11",2,3
"3","5",2,3
"3","15",2,3
"4","5",2,3
"5","3",2,3
"5","4",2,3
"6","12",2,3
"6","13",2,3
"7","7",2,3
"8","9",2,3
"9","8",2,3
"10",NA,2,3
"11","10",2,3
"11","14",2,3
"12","5",2,3
"12","6",2,3
"12","13",2,3
"13","6",2,3
"13","12",2,3
"14","11",2,3
"15","3",2,3
"16","16",2,3
"1","14",3,7
"2",NA,3,7
"3","3",3,7
"4",NA,3,7
"5","2",3,7
"5","9",3,7
"6","1",3,7
"6","12",3,7
"7","11",3,7
"8","8",3,7
"9",NA,3,7
"10","14",3,7
"11","7",3,7
"12","6",3,7
"12","15",3,7
"13","12",3,7
"14","1",3,7
"14","10",3,7
"15","11",3,7
"16","4",3,7
"1","1",4,6
"2","3",4,6
"2","13",4,6
"3","2",4,6
"4",NA,4,6
"5","4",4,6
"6","12",4,6
"7","10",4,6
"8","9",4,6
"8","10",4,6
"9",NA,4,6
"10","7",4,6
"10","11",4,6
"10","14",4,6
"11","8",4,6
"11","10",4,6
"12","6",4,6
"12","13",4,6
"13","2",4,6
"13","6",4,6
"13","12",4,6
"14","10",4,6
"15","9",4,6
"16","16",4,6
"1","8",5,8
"2","3",5,8
"2","12",5,8
"3","2",5,8
"3","15",5,8
"4","4",5,8
"5","5",5,8
"6","6",5,8
"7",NA,5,8
"8","1",5,8
"8","10",5,8
"9","2",5,8
"10","7",5,8
"10","8",5,8
"11","11",5,8
"12","2",5,8
"12","13",5,8
"13","12",5,8
"14","14",5,8
"15",NA,5,8
"16","16",5,8
"1","1",6,1
"2","2",6,1
"3","3",6,1
"4","4",6,1
"5","5",6,1
"6","6",6,1
"7","15",6,1
"8","9",6,1
"8","11",6,1
"8","14",6,1
"9","11",6,1
"10","11",6,1
"10","12",6,1
"11","8",6,1
"11","10",6,1
"11","14",6,1
"12",NA,6,1
"13","13",6,1
"14","11",6,1
"15","12",6,1
"16","16",6,1
"1","1",7,4
"2","12",7,4
"3","2",7,4
"3","15",7,4
"4",NA,7,4
"5","4",7,4
"5","7",7,4
"6","12",7,4
"6","13",7,4
"7","5",7,4
"7","10",7,4
"8","8",7,4
"9",NA,7,4
"10","7",7,4
"10","11",7,4
"10","14",7,4
"11","7",7,4
"11","10",7,4
"12","2",7,4
"12","6",7,4
"13","6",7,4
"13","9",7,4
"14","9",7,4
"14","10",7,4
"15","3",7,4
"16","9",7,4
"1","11",8,2
"1","15",8,2
"2","12",8,2
"3","3",8,2
"4","9",8,2
"5","14",8,2
"6","12",8,2
"6","13",8,2
"7","7",8,2
"8","10",8,2
"9","4",8,2
"10","8",8,2
"11","1",8,2
"11","14",8,2
"12","2",8,2
"12","13",8,2
"12","15",8,2
"13","2",8,2
"13","6",8,2
"13","12",8,2
"14","11",8,2
"15","1",8,2
"15","12",8,2
"16","16",8,2
"1","1",9,9
"2","12",9,9
"3","6",9,9
"4","5",9,9
"5","4",9,9
"6","12",9,9
"6","13",9,9
"7","7",9,9
"8","14",9,9
"9","9",9,9
"10","10",9,9
"11","11",9,9
"12","2",9,9
"12","4",9,9
"12","6",9,9
"12","13",9,9
"13","6",9,9
"14",NA,9,9
"15","15",9,9
"16","16",9,9
